"OTU317","OTU57","OTU30","OTU738","OTU736","OTU128","OTU322","OTU25","OTU861","OTU1243","OTU1026","OTU1111","OTU46","OTU729","OTU384","OTU1028","OTU234","OTU730","OTU85","OTU48","OTU19","OTU1041","OTU525","OTU718","OTU1069","OTU870","OTU288","OTU444","OTU84","OTU714","OTU108","OTU325","OTU51","OTU1105","OTU734","OTU728","OTU731","OTU78","OTU228","OTU401","OTU724","OTU1184","OTU1113","OTU125","OTU1021","OTU274","OTU802","OTU752","OTU862","OTU533","OTU789","OTU743","OTU86","OTU692","OTU885","OTU122","OTU698","OTU34","OTU769","OTU89","OTU889","OTU261","OTU29","OTU82","OTU774","OTU37","OTU999","OTU810","OTU707","OTU1001","OTU795","OTU427","OTU869"
"control15-early pre-onset",0.0011073801528899,0.000750160748731871,0.0894120168607559,0,0,0.00150032149746374,0.000821604629563478,0.18207473029935,3.57219404158034e-05,0,0.0111809673501465,0,0.00732299778523969,0.00342930627991713,0.00139315567621633,0.00135743373580053,0.000714438808316068,0,0.000642994927484461,0.00010716582124741,0.00200042866328499,0.00200042866328499,0.00178609702079017,0.000178609702079017,0.0103950846609988,0.0010716582124741,0.000750160748731871,0,0.00264342359076945,0.000607272987068658,0,0.012895620490105,0.000392941344573837,0.000893048510395085,3.57219404158034e-05,0,0,0.00114310209330571,0.000964492391226691,3.57219404158034e-05,0.00010716582124741,0.000464385225405444,0.000821604629563478,0.00292919911409588,0.00203615060370079,0.00121454597413732,0.00135743373580053,0.00010716582124741,0.0382224762449096,0.00200042866328499,0.000357219404158034,0.000142887761663214,0.0227905979852826,7.14438808316068e-05,0.00264342359076945,0.000321497463742231,0,0.0175394727441595,0,3.57219404158034e-05,0.00732299778523969,0.00228620418661142,0.502571979709938,0.000928770450810888,0,0.00589412016860756,0.00621561763234979,0.0021075944845324,7.14438808316068e-05,0.00828749017646639,0.00775166107022933,0.00600128598985497,0.000428663284989641
"control15-late pre-onset",0,0,3.57219404158034e-05,0,0,0,0,0.00896620704436665,0,0,0,0,0,0,0,0,0,0,0,0,0.000178609702079017,0,0,0,0,0,0,0,0,0,0,7.14438808316068e-05,0.000500107165821247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701936129170537,0,3.57219404158034e-05,0,3.57219404158034e-05,0,0,0,0,7.14438808316068e-05,0,0,3.57219404158034e-05,0,0.919447024362363,0,0,3.57219404158034e-05,0,0,7.14438808316068e-05,0,0,0,0
"control16-early disease",0,0,8.93048510395085e-05,0.000303636493534329,0,0,0,0.000250053582910624,0.000142887761663214,0.00544759591341002,0,0,0,0,0,0,0,1.78609702079017e-05,0,0.0429913552904194,0.00278631135243266,0,0,0.0743373580052868,3.57219404158034e-05,0,0,5.35829106237051e-05,0,0.00153604343787955,0,3.57219404158034e-05,0.000964492391226691,0,0,0,0,0,0,3.57219404158034e-05,0.00153604343787955,0,0,0,1.78609702079017e-05,0,0,0,0.000982353361434593,0,0.736104165178253,0,0,0.00010716582124741,0,0,0,0,0.0744445238265343,3.57219404158034e-05,0,0,0.00853754375937701,0,0,0,0,1.78609702079017e-05,0,0,0,0,0.000142887761663214
"control16-early post partum",0.00185754090162178,0.0010180753018504,0.182592698435379,0.00135743373580053,0.0121633207115811,0.00455454740301493,0.00151818246767164,0.000571551046652854,0.0021075944845324,7.14438808316068e-05,0.0104665285418304,0.00428663284989641,0.0106808601843252,0.0083946559977138,0.000267914553118525,0.00130385082517682,0.0312745588340359,0.012538401085947,0.00251839679931414,0.00671572479817104,3.57219404158034e-05,0.00194684575266128,0.000803743659355576,0.000303636493534329,0.0412945631206687,0.00146459955704794,0.00116096306351361,0.000178609702079017,0.00162534828891905,0.00826962920625848,0.00094663142101879,0.0551903979424162,0.000142887761663214,0.00289347717368007,0.00712652711295278,0.0136993641494606,0.0135028934771737,0.000410802314781739,0.000250053582910624,0.136654283060656,0.0010716582124741,0.000196470672286919,0.00132171179538473,0.00337572336929342,0.000464385225405444,0.000607272987068658,0.000803743659355576,0.0244338072444095,0.00507251553904408,0.00246481388869043,0.0196827891691077,0.0298456812174037,0.0158426805744088,0.000410802314781739,0.00812674144459527,0.0119132671286704,0.000392941344573837,0.01344931056655,0.00310780881617489,0.119007644495249,0.0133421447453026,0.00139315567621633,0.0496177752375509,0.00083946559977138,0.00307208687575909,0.00162534828891905,0.0233621490319354,0.00614417375151818,0.000125026791455312,0.0094663142101879,0.00516182039008359,0.00726941487461599,0.000125026791455312
"control16-early pre-onset",0.000446524255197542,0.000267914553118525,0.0517253697220833,0.000589412016860756,0.00305422590555119,0.00119668500392941,0.000696577838108166,0.000250053582910624,0.00169679216975066,0.0373472887047224,0.00287561620347217,0.000500107165821247,0.00303636493534329,0.00266128456097735,0.000125026791455312,0.000642994927484461,0.00909123383582196,0.00407230120740159,0.000732299778523969,0.000303636493534329,3.57219404158034e-05,0.000357219404158034,0.00010716582124741,0.0629420590126456,0.012717010788026,0.000410802314781739,0.000321497463742231,5.35829106237051e-05,0.000339358433950132,0.00696577838108166,0.000267914553118525,0.016539258412517,0.00760877330856612,0.000428663284989641,0.0021611773951561,0.00403657926698578,0.00342930627991713,0.000125026791455312,0.000125026791455312,0.0357398013860113,0.000553690076444952,1.78609702079017e-05,0.000535829106237051,0.0010537972422662,0.000142887761663214,0.00010716582124741,0.00021433164249482,0.00721583196399228,0.038151032364078,0.000696577838108166,0.195988426091305,0.00776952204043724,0.00444738158176752,0.00142887761663214,0.00242909194827463,0.00350075016074873,0.00428663284989641,0.00267914553118525,0.000232192612702722,0.0331320997356576,0.00387583053511467,0.000446524255197542,0.386243480745874,0.000357219404158034,0.000446524255197542,0.000428663284989641,0.00642994927484461,0.00162534828891905,0.000178609702079017,0.00253625776952204,0.001089519182682,0.00230406515681932,0.000160748731871115
"control16-late pre-onset",0,0,0.000714438808316068,0,0,1.78609702079017e-05,1.78609702079017e-05,0.000285775523326427,0.00560834464528113,0.037240122883475,5.35829106237051e-05,0,1.78609702079017e-05,1.78609702079017e-05,0,0,0,0,0,0.0392584125169679,0.000857326569979281,1.78609702079017e-05,0,0.13772594127313,0.00010716582124741,0,0,0.000303636493534329,0,7.14438808316068e-05,0,0.000232192612702722,0.0073408587554476,0,0,0,0,0,0,5.35829106237051e-05,0.00125026791455312,7.14438808316068e-05,0,0,0,0,0,1.78609702079017e-05,0.00453668643280703,1.78609702079017e-05,0.646424233764378,0,3.57219404158034e-05,0,1.78609702079017e-05,1.78609702079017e-05,0,8.93048510395085e-05,0.053422161891834,5.35829106237051e-05,1.78609702079017e-05,0,0.0470993784382368,0,0,0,8.93048510395085e-05,3.57219404158034e-05,7.14438808316068e-05,1.78609702079017e-05,1.78609702079017e-05,0,0
"control17-early disease",3.57219404158034e-05,0,0.000678716867900264,0,0,3.57219404158034e-05,0,0.000178609702079017,3.57219404158034e-05,0,3.57219404158034e-05,0,0,0.00010716582124741,0,7.14438808316068e-05,0,0,0,0.0221476030577981,0.000142887761663214,0,0,0.274951775380439,3.57219404158034e-05,0,0,0,3.57219404158034e-05,0.133778666857184,0,0.000178609702079017,0.0294706008430378,0,0,0,0,0,0,0,0.0465456883617918,0,0,0,0,0,0,0,0.0204686718582553,3.57219404158034e-05,0,0,7.14438808316068e-05,0.00825176823605058,0,0,0,0,0,0,3.57219404158034e-05,0,0.437415160391512,3.57219404158034e-05,0,0,0,0,0.000285775523326427,7.14438808316068e-05,0,3.57219404158034e-05,0.00021433164249482
"control17-early post partum",0.00478674001571765,0.00342930627991713,0.375116096306351,0,0,0.00400085732656998,0.00275058941201686,0.00250053582910624,0.000893048510395085,0,0.0375794813174252,0,0.0231120954490248,0.00993069943559334,0.00592984210902336,0.00289347717368007,0.00200042866328499,0,0.00189326284203758,0.000178609702079017,0.00171465313995856,0.00775166107022933,0.00660855897692363,3.57219404158034e-05,0.0131099521325998,0.00300064299492748,0.0042509109094806,0.00021433164249482,0.00650139315567622,0.0021433164249482,3.57219404158034e-05,0.0474744588126027,3.57219404158034e-05,0.00260770165035365,3.57219404158034e-05,0,0,0.00410802314781739,0.00328641851825391,0.000357219404158034,0.000250053582910624,0,0.00235764806744302,0.0101093091376724,0.00621561763234979,0.0020718725441166,0.00453668643280703,0.00010716582124741,0.000357219404158034,0.00907337286561406,0.00139315567621633,0.000178609702079017,0.0820890190755162,3.57219404158034e-05,0.0126455669071944,0.00121454597413732,7.14438808316068e-05,0.0741944702436236,0,0,0.0215760520111452,0.00478674001571765,0.00500107165821247,0.00246481388869043,0,0.0215760520111452,0.023076373508609,0.00535829106237051,0.000500107165821247,0.0309352004000857,0.0309352004000857,0.0218261055940559,3.57219404158034e-05
"control17-early pre-onset",3.57219404158034e-05,0,0.00400085732656998,0,0,0,0,0.0980210045009645,7.14438808316068e-05,0,0.000607272987068658,0,0.000321497463742231,0,3.57219404158034e-05,0,0,0,0,0.0834107308709009,0.00782310495106094,0,0.00010716582124741,0,0.00010716582124741,7.14438808316068e-05,0,0,0.00021433164249482,0.000464385225405444,0,0.000535829106237051,0,0,0,0,0,3.57219404158034e-05,0,0,0.760662999214117,0,0,3.57219404158034e-05,7.14438808316068e-05,0,0.00010716582124741,0,0,0.00010716582124741,3.57219404158034e-05,0,0.00128598985496892,0.0297563763663642,0.000321497463742231,3.57219404158034e-05,0,0.00114310209330571,0,0,0.000500107165821247,0.000142887761663214,3.57219404158034e-05,0,0,0.000250053582910624,0.000178609702079017,7.14438808316068e-05,0,0.000428663284989641,0.000392941344573837,0.000250053582910624,0
"control17-late pre-onset",0,0,0.000714438808316068,0,0,3.57219404158034e-05,0,0.00718011002357648,0.0288633278559691,0,7.14438808316068e-05,0,3.57219404158034e-05,7.14438808316068e-05,0,3.57219404158034e-05,0,0,0,0.188611845395442,0.000642994927484461,0,0,0,0,0,0,0.00757305136815032,0,0.289026219904265,0,3.57219404158034e-05,0,0,0,0,0,0,0,0,0.378581124526684,0,0,3.57219404158034e-05,0,0,7.14438808316068e-05,0,3.57219404158034e-05,3.57219404158034e-05,7.14438808316068e-05,0,0.000285775523326427,0.0291491033792956,3.57219404158034e-05,0,0,0.000285775523326427,0,0,7.14438808316068e-05,0,0.000750160748731871,0,0,3.57219404158034e-05,3.57219404158034e-05,3.57219404158034e-05,0,0.000142887761663214,0.000178609702079017,0.00010716582124741,0
"control2-early disease",0.00010716582124741,0.000250053582910624,0.00803743659355576,0,0,0.000357219404158034,0.00010716582124741,0.00428663284989641,7.14438808316068e-05,7.14438808316068e-05,0.00139315567621633,0,0.000642994927484461,0.000392941344573837,0.00010716582124741,0.000178609702079017,3.57219404158034e-05,0,7.14438808316068e-05,0,0,0.00010716582124741,0.000285775523326427,0,0.00160748731871115,0.000142887761663214,0.000142887761663214,0,0.000392941344573837,7.14438808316068e-05,0,0.00139315567621633,0.000428663284989641,3.57219404158034e-05,0,0,0,0.000178609702079017,3.57219404158034e-05,3.57219404158034e-05,0.00010716582124741,3.57219404158034e-05,7.14438808316068e-05,0.000321497463742231,0.00021433164249482,0.000250053582910624,7.14438808316068e-05,0,0.0729084803886547,0.000357219404158034,0,0,0.0021433164249482,0,0.000392941344573837,3.57219404158034e-05,0,0.00150032149746374,0,0,0.000893048510395085,0.000250053582910624,0.894013002786311,7.14438808316068e-05,0,0.000571551046652854,0.000500107165821247,0.000142887761663214,0.00010716582124741,0.000857326569979281,0.000642994927484461,0.0010359362720583,0
"control2-early post partum",0.0042151889690648,0.00296492105451168,0.368936200614417,0,0,0.0042509109094806,0.00239337000785883,7.14438808316068e-05,0.000357219404158034,3.57219404158034e-05,0.0421161677502322,0,0.0255411873972994,0.0100735871972566,0.00464385225405444,0.00246481388869043,0.00310780881617489,3.57219404158034e-05,0.00271486747160106,0.000285775523326427,0,0.00753732942773451,0.00607272987068658,3.57219404158034e-05,0.0193255697649496,0.00325069657783811,0.00492962777738087,3.57219404158034e-05,0.00889476316353504,0.00242909194827463,0.00010716582124741,0.0475101807530185,7.14438808316068e-05,0.0021433164249482,7.14438808316068e-05,0.00010716582124741,0.00010716582124741,0.00746588554690291,0.00346502822033293,0.000142887761663214,0.000714438808316068,7.14438808316068e-05,0.00264342359076945,0.0109666357076516,0.00614417375151818,0.00282203329284847,0.0042151889690648,7.14438808316068e-05,0,0.00985925555476173,0.000285775523326427,0.000321497463742231,0.0806244195184682,7.14438808316068e-05,0.0113238551118097,0.00250053582910624,7.14438808316068e-05,0.0717296563549332,0,0.000178609702079017,0.0202900621561763,0.00535829106237051,0.00232192612702722,0.00253625776952204,0,0.0219689933557191,0.0216474958919769,0.00750160748731871,0.000535829106237051,0.0268628991926841,0.031256697863828,0.0215403300707294,0
"control2-early pre-onset",0.00339358433950132,0.00264342359076945,0.264663856540687,3.57219404158034e-05,3.57219404158034e-05,0.00253625776952204,0.00196470672286919,0.230906622847753,0.000321497463742231,3.57219404158034e-05,0.0335786239908552,3.57219404158034e-05,0.0203972279774237,0.0083946559977138,0.00353647210116454,0.00160748731871115,0.0020718725441166,0,0.00142887761663214,0.000392941344573837,0,0.00596556404943917,0.00500107165821247,0,0.0314710295063228,0.00253625776952204,0.0021075944845324,0,0.00539401300278631,0.00121454597413732,7.14438808316068e-05,0.0335071801100236,7.14438808316068e-05,0.00242909194827463,0,7.14438808316068e-05,0,0.00657283703650782,0.0021075944845324,0.000178609702079017,7.14438808316068e-05,0.000500107165821247,0.00246481388869043,0.00807315853397157,0.00475101807530185,0.00132171179538473,0.00303636493534329,0.000178609702079017,3.57219404158034e-05,0.00760877330856612,0,0.000178609702079017,0.0595484746731442,3.57219404158034e-05,0.00896620704436665,0.00153604343787955,0.000142887761663214,0.0505465456883618,0,0,0.0212902764878188,0.00471529613488605,0.000857326569979281,0.00239337000785883,0,0.0159677073658641,0.0179681360291491,0.0052868471815389,7.14438808316068e-05,0.0229692076873616,0.0235407587340144,0.0186825748374652,0
"control2-late pre-onset",0.00185754090162178,0.00325069657783811,0.301171679645638,0,3.57219404158034e-05,0.00364363792241195,0.00192898478245338,0.178145316853611,0.00114310209330571,3.57219404158034e-05,0.0325069657783811,7.14438808316068e-05,0.0212902764878188,0.00857326569979281,0.00332214045866971,0.00235764806744302,0.000893048510395085,0,0.000464385225405444,0.00010716582124741,0,0.00546545688361792,0.00517968136029149,0,0.0541187397299421,0.00200042866328499,0.00457240837322283,0.000142887761663214,0.00400085732656998,0.00160748731871115,0.000250053582910624,0.0367221547474459,0,0.000500107165821247,0.000178609702079017,7.14438808316068e-05,0,0.00150032149746374,0.00250053582910624,0.00021433164249482,0.000142887761663214,0.00010716582124741,0.00192898478245338,0.00871615346145603,0.0032149746374223,0.00285775523326427,0.00332214045866971,0.000285775523326427,0.00010716582124741,0.0084303779381296,0.000285775523326427,0.000142887761663214,0.063049224833893,0,0.00900192898478245,0.000428663284989641,0.00010716582124741,0.0458669714938915,0,3.57219404158034e-05,0.0246838608273201,0.00564406658569694,0.0010359362720583,0.00221476030577981,0,0.0181467457312281,0.0197899549903551,0.00489390583696506,0.000178609702079017,0.02289776380653,0.0229334857469458,0.0138243909409159,0
"control3-early disease",0,0,0.000178609702079017,0.000357219404158034,0,0,0,0.0166107022933486,0.000321497463742231,0,0,0,0,0,0,0,3.57219404158034e-05,0,0,0.0120382939201257,0,0,0,0.00021433164249482,0,0,0,0,0,0,0,7.14438808316068e-05,3.57219404158034e-05,0.654711723940844,0,0,0,0,0,0,0.000250053582910624,0,0,0,0,0,0,0,0.000357219404158034,0,0,0,3.57219404158034e-05,0,0,0,0.309316282060442,0,0.000357219404158034,3.57219404158034e-05,0,0,0.00371508180324355,0,0,0,3.57219404158034e-05,0,0,0,0,0,0
"control3-early post partum",0.00264342359076945,0.00100021433164249,0.251571765378295,0.000339358433950132,0.00566192755590484,0.00521540330070729,0.00180395799099807,0.000196470672286919,0.00100021433164249,0.000500107165821247,0.0122526255626206,0.00469743516467815,0.0101628920482961,0.0102521968993356,0.000714438808316068,0.00446524255197542,0.0384903907980281,0.0074301636064871,0.00257197970993784,0.00189326284203758,0.00010716582124741,0.00376866471386726,0.000928770450810888,0.000571551046652854,0.0643352146888619,0.0011073801528899,0.00169679216975066,7.14438808316068e-05,0.00132171179538473,0.00796599271272416,0.00225048224619561,0.0589233407158677,0.000750160748731871,0.00146459955704794,0.00339358433950132,0.00616203472172608,0.0073408587554476,0.000607272987068658,0.000893048510395085,0.0631742516253483,0.004179467028649,0.000125026791455312,0.000785882689147674,0.00594770307923126,0.00133957276559263,0.00164320925912696,0.00119668500392941,0.0133242837750947,0.00514395941987569,0.00332214045866971,0.0155747660212903,0.0166642852039723,0.0203079231263842,0.000178609702079017,0.0084482389083375,0.0136815031792527,0.000142887761663214,0.0147888833321426,0.00192898478245338,0.0609059084089448,0.0152175466171322,0.00246481388869043,0.0437236550689433,0.00173251411016646,0.0168250339358434,0.0031435307565907,0.0269522040437237,0.00796599271272416,0.000142887761663214,0.0122526255626206,0.00660855897692363,0.00776952204043724,0.000250053582910624
"control3-early pre-onset",0.00428663284989641,0.000410802314781739,0.161945416875045,0.000142887761663214,0.0132171179538473,0.00482246195613346,0.000928770450810888,0.001089519182682,0.00396513538615418,8.93048510395085e-05,0.00809101950417947,0.0042151889690648,0.00707294420232907,0.00714438808316068,0.000196470672286919,0.00141101664642423,0.0461884689576338,0.0129134814603129,0.0020718725441166,0.00183967993141387,0.00010716582124741,0.00164320925912696,0.000500107165821247,0.00200042866328499,0.0398121025934129,0.00100021433164249,0.00125026791455312,0.000446524255197542,0.00117882403372151,0.00803743659355576,0.00117882403372151,0.0502071872544117,3.57219404158034e-05,0.012717010788026,0.00671572479817104,0.0151818246767164,0.0175394727441595,0.000267914553118525,8.93048510395085e-05,0.120311495320426,0.00232192612702722,0.000160748731871115,0.0010359362720583,0.00292919911409588,0.00144673858684004,0.000535829106237051,0.000642994927484461,0.0208080302922055,0.00509037650925198,0.00158962634850325,0.0494927484460956,0.02834535971994,0.0137708080302922,0.00021433164249482,0.00812674144459527,0.0186289919268415,0.00307208687575909,0.00775166107022933,0.000446524255197542,0.127884546688576,0.0121275987711652,0.00144673858684004,0.0468136029149103,0.0010180753018504,0.00598342501964707,0.0010180753018504,0.0213795813388583,0.00594770307923126,0.000232192612702722,0.00760877330856612,0.00364363792241195,0.0073587197256555,8.93048510395085e-05
"control3-late pre-onset",0,0,0.000500107165821247,3.57219404158034e-05,0,0,0,0.0350432235479031,0.0260055726227049,0,0,3.57219404158034e-05,0,3.57219404158034e-05,0,0,0.00010716582124741,0.000142887761663214,0,0.000142887761663214,0,0,0,0,7.14438808316068e-05,3.57219404158034e-05,7.14438808316068e-05,0.00700150032149746,0,3.57219404158034e-05,0,0.000392941344573837,0,0.918732585554047,3.57219404158034e-05,3.57219404158034e-05,7.14438808316068e-05,0,0,0.000928770450810888,0,0,3.57219404158034e-05,0,0,0,0,0.00021433164249482,0.000714438808316068,0,0.00010716582124741,0.000142887761663214,3.57219404158034e-05,0,0,3.57219404158034e-05,7.14438808316068e-05,0.00010716582124741,3.57219404158034e-05,0.000607272987068658,0.00010716582124741,0,0.00560834464528113,0,0,0,0.00010716582124741,0,0,7.14438808316068e-05,0,3.57219404158034e-05,0
"control4-early disease",1.78609702079017e-05,0,0.00228620418661142,0.0629241980424377,3.57219404158034e-05,8.93048510395085e-05,1.78609702079017e-05,1.78609702079017e-05,0,0.0511002357648067,0.000142887761663214,1.78609702079017e-05,0.000125026791455312,0.00010716582124741,0,1.78609702079017e-05,0.000392941344573837,1.78609702079017e-05,0,0.00944845323997999,0,3.57219404158034e-05,0,0.000232192612702722,0.000589412016860756,0,7.14438808316068e-05,0,3.57219404158034e-05,3.57219404158034e-05,1.78609702079017e-05,0.000875187540187183,0.00825176823605058,0,1.78609702079017e-05,3.57219404158034e-05,0,0,0,0,0.00021433164249482,0,1.78609702079017e-05,7.14438808316068e-05,1.78609702079017e-05,0,1.78609702079017e-05,5.35829106237051e-05,0.0139672787025791,5.35829106237051e-05,0.702864899621347,5.35829106237051e-05,0.000160748731871115,0,7.14438808316068e-05,0.000178609702079017,0,0.000125026791455312,0,1.78609702079017e-05,0.000250053582910624,5.35829106237051e-05,0.137404443809388,0,0,5.35829106237051e-05,0.000196470672286919,0.00010716582124741,0.000196470672286919,8.93048510395085e-05,3.57219404158034e-05,3.57219404158034e-05,0.00291133814388798
"control4-early post partum",0.00303636493534329,0.00114310209330571,0.287240122883475,0.00135743373580053,0.00203615060370079,0.00510823747945988,0.00128598985496892,0.00010716582124741,0.00978781167393013,0,0.0137529470600843,0.00296492105451168,0.00907337286561406,0.0176109166249911,0.000714438808316068,0.00396513538615418,0.103415017503751,0.00507251553904408,0.00232192612702722,0.000321497463742231,0,0.00475101807530185,0.00132171179538473,0.00010716582124741,0.0620490105022505,0.00171465313995856,0.00232192612702722,0.00100021433164249,0.00464385225405444,0.0185754090162178,0.00178609702079017,0.0790883760805887,0,0.000964492391226691,0.00217903836536401,0.00414374508823319,0.000142887761663214,0.000750160748731871,0.0021075944845324,0.0139315567621633,0.00346502822033293,0.00100021433164249,0.000714438808316068,0.00678716867900264,0.00271486747160106,0.0010716582124741,0.0010716582124741,0.00996642137600915,0.00121454597413732,0.00250053582910624,0.00789454883189255,0.0125741230263628,0.0221118811173823,0,0.010537972422662,0.0374008716153461,0.00175037508037437,0.012717010788026,0,0.0161463170679431,0.0173251411016646,0.00232192612702722,0.00971636779309852,0.00250053582910624,0.000535829106237051,0.00257197970993784,0.0353647210116454,0.020718725441166,3.57219404158034e-05,0.0119668500392941,0.00607272987068658,0.0225405444023719,0
"control4-early pre-onset",8.93048510395085e-05,7.14438808316068e-05,0.0393298563977995,5.35829106237051e-05,5.35829106237051e-05,0.000714438808316068,0.00010716582124741,3.57219404158034e-05,0.394173751518182,8.93048510395085e-05,0.00176823605058227,3.57219404158034e-05,0.000714438808316068,0.00119668500392941,0.00010716582124741,0.000410802314781739,0.00146459955704794,0.00021433164249482,0.000125026791455312,5.35829106237051e-05,0,0.000517968136029149,0.000125026791455312,0.00169679216975066,0.00753732942773451,5.35829106237051e-05,0.000339358433950132,0.0120025719797099,0.000160748731871115,0.0010716582124741,1.78609702079017e-05,0.00980567264413803,0.000125026791455312,5.35829106237051e-05,7.14438808316068e-05,0.000142887761663214,0,3.57219404158034e-05,5.35829106237051e-05,0.000571551046652854,0.0010716582124741,0.00334000142887762,0.00010716582124741,0.000732299778523969,8.93048510395085e-05,0.000232192612702722,8.93048510395085e-05,0.0010716582124741,0.0461884689576338,0.000285775523326427,0.000250053582910624,0.000535829106237051,0.00239337000785883,1.78609702079017e-05,0.0011073801528899,0.000482246195613346,1.78609702079017e-05,0.00203615060370079,0.000142887761663214,0.000660855897692363,0.00160748731871115,0.000339358433950132,0.445506179895692,0.000250053582910624,0.00010716582124741,0.000178609702079017,0.0042151889690648,0.0011073801528899,5.35829106237051e-05,0.00125026791455312,0.000571551046652854,0.00083946559977138,1.78609702079017e-05
"control4-late pre-onset",0,0,3.57219404158034e-05,0.097199399871401,0,0,0,0.00378652568407516,0,0.00167893119954276,0,0,0,0,0,0,3.57219404158034e-05,0,0,0.000250053582910624,0,0,0,0.00010716582124741,0,0,0,0,0,0,0,7.14438808316068e-05,0.000535829106237051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823390726584268,0,0.0052868471815389,0,0,0,0,0,7.14438808316068e-05,0,3.57219404158034e-05,0,0,0,0.783060655854826,0,0,0,3.57219404158034e-05,0,3.57219404158034e-05,0,0,0,0.0215760520111452
"control5-early disease",0,0,0.00117882403372151,0.0796956490676574,0,0,3.57219404158034e-05,0.000500107165821247,0.000642994927484461,0.00021433164249482,0.00010716582124741,0,0,0,0,3.57219404158034e-05,0.000250053582910624,3.57219404158034e-05,0,0.000785882689147674,0,0,0,0,0.000321497463742231,0,3.57219404158034e-05,0,0,0,3.57219404158034e-05,0.000250053582910624,0.00010716582124741,0,0,0,0,0,3.57219404158034e-05,3.57219404158034e-05,3.57219404158034e-05,7.14438808316068e-05,0,0,0,3.57219404158034e-05,0,3.57219404158034e-05,0.0220047152961349,0.00010716582124741,3.57219404158034e-05,3.57219404158034e-05,0.000142887761663214,0,0,3.57219404158034e-05,0.648388940487247,0,0,0.000178609702079017,0.00010716582124741,0,0.233835821961849,0,0,7.14438808316068e-05,0.000142887761663214,7.14438808316068e-05,0,0.00010716582124741,0,3.57219404158034e-05,0.00871615346145603
"control5-early post partum",0.00239337000785883,0.00150032149746374,0.188218904050868,7.14438808316068e-05,0.0118239622776309,0.00550117882403372,0.00132171179538473,0.00010716582124741,0.000464385225405444,0.000178609702079017,0.0108237479459884,0.00464385225405444,0.00889476316353504,0.00882331928270344,0.000357219404158034,0.00185754090162178,0.0373651496749303,0.0139315567621633,0.00346502822033293,0.00117882403372151,3.57219404158034e-05,0.00185754090162178,0.000678716867900264,0.00292919911409588,0.0541544616703579,0.00150032149746374,0.00157176537829535,0,0.00171465313995856,0.00793027077230835,0.000250053582910624,0.0604058012431235,7.14438808316068e-05,0.00271486747160106,0.00710866614274487,0.0142887761663214,0.0105736943630778,0.000464385225405444,0.00010716582124741,0.140172894191612,0.000571551046652854,0.000178609702079017,0.00157176537829535,0.0042151889690648,0.0010359362720583,0.00132171179538473,0.000857326569979281,0.0247910266485676,0.00128598985496892,0.00221476030577981,0.0221476030577981,0.032149746374223,0.0158605415446167,7.14438808316068e-05,0.00921626062727727,0.0136457812388369,0.000357219404158034,0.00925198256769308,0.00203615060370079,0.125634064442381,0.0146817175108952,0.0021433164249482,0.0113595770522255,0.0010359362720583,0.00360791598199614,0.0021075944845324,0.0253625776952204,0.00617989569193399,0.000178609702079017,0.00893048510395085,0.00450096449239123,0.00621561763234979,0.000142887761663214
"control5-early pre-onset",0.0010359362720583,0.000321497463742231,0.1075944845324,3.57219404158034e-05,0.00592984210902336,0.00257197970993784,0.000768021718939773,0.000571551046652854,0.00269700650139316,5.35829106237051e-05,0.00566192755590484,0.0020718725441166,0.00430449382010431,0.00469743516467815,0.000142887761663214,0.000910909480602986,0.0160927341573194,0.00651925412588412,0.00141101664642423,0.000857326569979281,1.78609702079017e-05,0.000964492391226691,0.000196470672286919,0.00200042866328499,0.0262734871758234,0.000714438808316068,0.000785882689147674,0.000428663284989641,0.000464385225405444,0.00357219404158034,7.14438808316068e-05,0.0326141315996285,0,0.0197185111095235,0.00355433307137244,0.00617989569193399,0.00564406658569694,0.00021433164249482,0.000178609702079017,0.0646388511823962,0.00112524112309781,0.138047438736872,0.000535829106237051,0.00185754090162178,0.000500107165821247,0.000714438808316068,0.000375080374365936,0.0118596842180467,0.000893048510395085,0.00117882403372151,0.015806958633993,0.0162177609487747,0.00882331928270344,1.78609702079017e-05,0.00459026934343074,0.00626920054297349,0.00639422733442881,0.00494748874758877,0.000464385225405444,0.0620847324426663,0.00691219547045796,0.0010180753018504,0.00891262413374294,0.000285775523326427,0.00328641851825391,0.0010716582124741,0.0137708080302922,0.00366149889261985,0,0.00503679359862828,0.00223262127598771,0.00414374508823319,1.78609702079017e-05
