"","sample","time","OTU54","OTU295","OTU865","OTU42","OTU31","OTU317","OTU24","OTU190","OTU1094","OTU18","OTU357","OTU57","OTU790","OTU979","OTU30","OTU138","OTU850","OTU72","OTU435","OTU211","OTU738","OTU142","OTU256","OTU458","OTU236","OTU315","OTU354","OTU736","OTU1073","OTU128","OTU1242","OTU53","OTU322","OTU785","OTU302","OTU25","OTU721","OTU129","OTU374","OTU914","OTU861","OTU516","OTU281","OTU1243","OTU508","OTU1002","OTU1026","OTU703","OTU527","OTU1111","OTU1075","OTU690","OTU807","OTU64","OTU1117","OTU744","OTU46","OTU32","OTU655","OTU537","OTU159","OTU729","OTU149","OTU384","OTU382","OTU875","OTU38","OTU1028","OTU777","OTU59","OTU695","OTU309","OTU766","OTU521","OTU398","OTU488","OTU373","OTU932","OTU245","OTU418","OTU1","OTU234","OTU745","OTU708","OTU871","OTU395","OTU730","OTU1088","OTU68","OTU85","OTU764","OTU381","OTU80","OTU76","OTU830","OTU1101","OTU33","OTU523","OTU1015","OTU48","OTU1225","OTU706","OTU825","OTU184","OTU50","OTU19","OTU1041","OTU827","OTU751","OTU420","OTU495","OTU525","OTU772","OTU771","OTU487","OTU1014","OTU204","OTU449","OTU446","OTU630","OTU1235","OTU718","OTU1069","OTU870","OTU288","OTU444","OTU84","OTU821","OTU396","OTU75","OTU329","OTU346","OTU978","OTU714","OTU590","OTU108","OTU868","OTU45","OTU325","OTU415","OTU1234","OTU765","OTU720","OTU945","OTU51","OTU1105","OTU734","OTU270","OTU136","OTU705","OTU36","OTU463","OTU750","OTU728","OTU379","OTU731","OTU833","OTU78","OTU228","OTU616","OTU404","OTU803","OTU801","OTU112","OTU246","OTU47","OTU401","OTU724","OTU878","OTU1184","OTU691","OTU1110","OTU836","OTU1078","OTU529","OTU343","OTU1113","OTU798","OTU1232","OTU260","OTU65","OTU41","OTU710","OTU1074","OTU146","OTU21","OTU333","OTU685","OTU4","OTU709","OTU352","OTU873","OTU908","OTU788","OTU297","OTU1077","OTU815","OTU532","OTU6","OTU450","OTU524","OTU125","OTU1021","OTU63","OTU1229","OTU390","OTU610","OTU1100","OTU67","OTU319","OTU274","OTU802","OTU752","OTU837","OTU225","OTU505","OTU436","OTU437","OTU864","OTU717","OTU862","OTU533","OTU389","OTU689","OTU789","OTU156","OTU832","OTU753","OTU209","OTU740","OTU711","OTU79","OTU1239","OTU202","OTU383","OTU743","OTU86","OTU704","OTU732","OTU1237","OTU956","OTU5","OTU1139","OTU692","OTU1135","OTU723","OTU151","OTU522","OTU768","OTU770","OTU1192","OTU338","OTU1207","OTU3","OTU867","OTU885","OTU819","OTU55","OTU122","OTU447","OTU716","OTU1233","OTU698","OTU34","OTU1082","OTU534","OTU769","OTU387","OTU89","OTU889","OTU767","OTU905","OTU263","OTU261","OTU1018","OTU426","OTU29","OTU786","OTU82","OTU386","OTU376","OTU943","OTU179","OTU7","OTU312","OTU481","OTU737","OTU20","OTU320","OTU774","OTU626","OTU434","OTU605","OTU456","OTU863","OTU893","OTU70","OTU1236","OTU1090","OTU952","OTU69","OTU37","OTU999","OTU872","OTU810","OTU496","OTU1104","OTU707","OTU1001","OTU1031","OTU795","OTU466","OTU866","OTU427","OTU279","OTU469","OTU792","OTU49","OTU712","OTU1093","OTU460","OTU272","OTU874","OTU375","OTU345","OTU869","OTU797","OTU509"
"11","A6613","control10-late pre-onset",0,0,2,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,218,0,1,0,0,351,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7280,1,0,0,4,0,0,0,0,0,0,0,1974,0,0,0,0,2,1,0,0,0,0,216,138,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9790,0,1,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,2,0,11,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,14,61,2,0,0,0,0,75,0,0,0,0,0,0,2,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6914,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,67,2,0,0,0,0,4,0,0,0,287,0,0,0,0,0,0,0,1,0,0
"12","A6620","control10-early disease",0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,19,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,86,0,0,0,0,15,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5428,8,0,0,0,0,0,1,0,0,0,0,3225,0,0,0,0,5,0,0,0,0,0,92,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,3,19,1,0,0,0,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,77,0,0,0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,3747,0,0,0,0,0,8860,0,1,1,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4288,1,0,1,0,0,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0
"13","A6801","control11-early post partum",2,0,1,3,26,106,2,2,4,3,0,75,0,14,7270,2,0,1,0,11,0,0,4,0,3,14,0,0,4,151,0,0,36,0,0,6737,0,0,13,6,5,0,0,0,2,1,965,0,3,0,5,0,0,0,9,0,500,10,1,0,3,183,12,84,6,1,8,102,11,11,0,4,0,0,3,0,5,0,2,0,11,18,1,2,0,0,0,18,0,14,0,6,7,1,1,1,4,0,0,11,0,0,0,2,0,0,135,4,7,2,3,94,2,1,0,13,5,0,0,0,50,1,803,81,41,0,166,11,0,1,2,1,3,32,8,4,0,7,1058,0,0,0,0,0,4,24,1,1,0,0,60,2,8,2,2,0,0,33,62,4,0,17,6,0,0,7,8,17,7,0,0,1,0,1,0,3,61,0,0,17,0,8,0,0,0,10,32,0,0,0,0,0,9,0,2,0,1,0,0,10,10,219,109,9,1,1,0,0,0,38,60,94,1,0,9,0,0,0,0,0,1,181,0,0,64,0,0,1,2,0,0,1,0,0,1,8,1805,0,1,0,0,9,2,2,3,0,0,0,0,0,0,0,0,36,23,337,73,3,18,6,2,1,1,1357,1,0,0,77,1,599,0,0,0,186,5,0,62,5,54,28,1,0,0,2,1,4,0,3,0,0,0,28,0,1,0,2,0,0,11,0,0,423,512,6,99,0,3,10,812,0,633,0,0,421,17,0,9,0,0,0,0,0,3,4,0,0,4,0
"14","A6805","control11-early pre-onset",0,0,1,0,0,0,0,0,0,0,0,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1184,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2058,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,24461,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,1,1,0,9,5,0,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,5,0,0
"15","A6812","control11-late pre-onset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2264,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,24635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","A6820","control11-early disease",0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,9,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,96,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1015,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13439,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12012,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"17","B0102","control17-early post partum",6,0,2,3,40,134,6,7,9,4,0,96,0,13,10501,1,1,2,0,47,0,0,9,0,0,19,0,0,3,112,0,0,77,0,0,70,0,0,14,5,25,0,0,0,0,2,1052,0,6,0,3,0,0,0,6,0,647,7,3,0,4,278,30,166,5,0,14,81,14,28,0,8,0,0,4,0,5,5,6,0,54,56,0,5,0,0,0,22,0,53,0,10,4,4,6,1,11,0,1,5,0,0,0,1,0,48,217,0,8,0,0,185,1,2,0,1,3,0,0,0,76,1,367,84,119,6,182,16,0,2,2,0,4,60,4,1,0,9,1329,0,0,0,0,2,1,73,1,1,0,0,29,0,24,0,0,0,3,115,92,11,0,9,1,2,1,1,10,7,6,0,0,1,0,2,0,0,66,0,0,18,0,5,0,0,0,22,36,0,0,0,0,0,6,0,1,4,0,7,0,21,6,283,174,26,4,0,0,0,0,34,58,127,3,0,13,0,0,0,0,0,10,254,0,0,39,0,0,0,2,0,0,8,1,0,0,5,2298,0,1,0,0,11,3,1,10,0,0,0,0,0,1,2,0,50,12,354,1,3,34,3,0,0,2,2077,2,0,0,103,0,604,0,1,0,134,4,0,140,2,69,49,7,0,4,6,3,1,0,11,0,0,0,0,0,0,0,1,0,2,7,0,0,604,646,23,150,0,0,14,866,0,866,0,0,611,9,0,11,0,1,0,0,0,1,9,0,1,4,0
"18","B0108","control17-early pre-onset",0,0,0,0,0,1,1,0,0,0,0,0,0,0,112,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2744,0,0,0,0,2,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2335,0,2,0,0,86,219,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,3,2,0,0,6,0,0,0,1,0,0,13,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21294,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,1,0,0,0,36,0,0,0,0,0,0,833,0,0,0,0,0,0,0,0,0,0,0,9,6,0,1,0,1,0,0,32,0,0,0,0,0,14,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,5,0,2,0,7,0,12,0,11,0,0,7,1,0,0,100,0,0,0,0,0,0,0,0,0,0
"19","B0114","control17-late pre-onset",0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,201,0,0,0,0,808,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5280,0,1,0,0,664,18,0,0,0,0,0,0,0,0,28,0,0,1,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,8091,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,272,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,4,0,5,1,0,3,0,1,0,900,0,0,0,0,0,0,0,0,0,1
"20","B0121","control17-early disease",0,0,2,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,620,0,0,0,0,173,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7697,1,0,0,0,1,0,0,0,0,0,0,3745,0,0,0,0,5,0,0,0,0,0,825,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1303,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,1,10,56,0,0,0,0,0,65,0,0,0,0,0,0,2,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12245,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,202,0,0,0,0,0,0,0,6,0,0
"21","B0402","NEC1-early post partum",5,0,1,6,27,129,1,3,10,2,0,83,0,19,8182,4,3,1,0,6,0,0,16,0,0,14,0,4,10,176,0,10,83,0,0,5,0,0,14,3,3,0,2,1,0,0,1057,0,8,0,4,0,0,0,12,0,649,2,0,0,0,272,23,104,2,1,8,118,26,39,0,5,0,0,2,0,8,20,3,0,78,90,2,0,2,0,1,24,0,88,0,5,3,3,1,1,8,0,0,9,0,0,1,0,0,0,169,0,9,0,2,162,3,1,0,50,1,0,0,1,63,14,2278,80,56,0,205,27,0,1,0,2,2,55,7,2,0,3,1326,0,0,0,0,0,2,137,1,0,0,0,24,0,71,5,4,0,1,237,107,43,0,13,4,3,0,4,8,18,11,5,0,3,0,4,1,0,50,0,0,6,0,5,0,0,0,53,35,0,2,0,0,0,8,0,10,2,0,6,0,12,10,279,211,78,2,1,0,0,0,58,107,105,6,0,24,0,0,0,0,0,14,407,0,0,395,0,0,0,6,0,0,7,1,0,1,5,1851,0,2,5,0,5,0,0,6,0,0,0,0,1,0,4,0,65,25,334,1,3,69,10,7,2,3,1316,2,0,0,60,2,999,0,0,0,291,4,0,437,6,76,36,3,0,6,1,4,0,0,16,0,0,1,0,0,2,0,1,0,0,14,1,0,473,650,31,174,0,0,10,942,0,819,0,0,554,5,0,10,0,0,0,0,0,3,17,0,0,2,0
"22","B0408","NEC1-early pre-onset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2231,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0
"23","B0410","NEC1-late pre-onset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2540,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"24","B0411","NEC1-early disease",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2380,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
"25","B0413","NEC1-early disease",0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,1,0,4,0,3,0,0,0,0,0,8263,0,0,0,0,2,0,0,0,3,0,4,0,1,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,19083,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,11,1,0,0,1,0,1,0,1,0,0,37,16,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,1,0,0,0,0,0,0,0,0,1,1,30,0,1,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,4,0,0,0,1,6,0,0,0,0,39,2,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,11,0,0,1,9,0,41,1,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,2,0,0,2,1,0,0,92,0,0,0,0,0,0,0,0,1,0
"26","B0415","NEC1-early disease",0,0,0,0,3,2,0,0,2,0,0,3,0,1,293,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,3,0,0,10,0,0,0,0,1,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,31,0,0,0,2,11,1,1,0,0,2,3,1,3,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,26659,0,0,0,0,0,0,7,0,0,0,0,11,0,0,0,1,1,0,0,0,1,4,71,10,2,1,8,1,0,0,0,0,1,1,0,0,0,1,55,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,13,5,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,1,15,12,2,0,0,0,0,0,4,4,3,0,0,1,0,0,0,0,0,0,22,0,0,122,0,0,0,0,0,0,1,0,0,0,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,3,0,2,0,0,86,0,0,0,7,0,49,0,0,0,11,0,0,31,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,27,1,2,0,0,0,54,0,43,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"27","B0420","NEC1-middle disease",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,138,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,46,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0
"28","B0421","NEC1-middle disease",0,0,0,0,0,2,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,480,0,0,0,0,3,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27168,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,5,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5,2,0,0,0,1,0,0,24,0,0,0,2,0,12,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,4,0,1,0,0,0,8,0,5,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0
